Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_402,11.705,-31.0,0.0,bottom
C10,1u,C_402,14.2,-24.085,90.0,bottom
C11,100n,C_402,15.35,-36.484975,270.0,bottom
C12,100n,C_402,18.6,-23.185,90.0,bottom
C13,100n,C_402,16.0,-23.185,90.0,bottom
C14,100n,C_402,11.6,-24.085,90.0,bottom
C15,30p,C_402,23.5,-36.935,90.0,bottom
C16,30p,C_402,17.75,-39.335,90.0,bottom
C17,100n,C_402,21.315,-21.1,180.0,bottom
C18,100n,C_402,-4.165,-23.7,0.0,bottom
C19,100n,C_402,-2.15,-27.7475,90.0,bottom
C2,100n,C_402,11.805,-26.9,0.0,bottom
C20,100n,C_402,7.815,-6.8,180.0,bottom
C21,100n,C_402,49.75,-8.215,270.0,bottom
C22,100n,C_402,88.25,-8.215,270.0,bottom
C23,100n,C_402,126.8,-8.215,270.0,bottom
C24,100n,C_402,165.8,-8.215,270.0,bottom
C25,100n,C_402,204.3,-8.215,270.0,bottom
C26,100n,C_402,240.885,-6.75,0.0,bottom
C27,100n,C_402,280.885,-6.85,0.0,bottom
C28,100n,C_402,274.2,-67.235,90.0,bottom
C29,100n,C_402,235.2,-67.235,90.0,bottom
C3,100n,C_402,16.6,-36.488109,270.0,bottom
C30,100n,C_402,196.720129,-67.235,90.0,bottom
C31,100n,C_402,158.205378,-67.229622,90.0,bottom
C32,100n,C_402,119.155378,-67.255,90.0,bottom
C33,100n,C_402,80.7,-67.215,90.0,bottom
C34,100n,C_402,42.155378,-67.215,90.0,bottom
C35,100n,C_402,3.1,-67.805,90.0,bottom
C4,100n,C_402,23.865,-26.6,180.0,bottom
C5,100n,C_402,23.865,-31.0,180.0,bottom
C6,100n,C_402,17.3,-23.185,90.0,bottom
C7,4.7u,C_805,1.95,-23.95,90.0,bottom
C8,4.7u,C_805,5.85,-28.0,0.0,bottom
C9,1u,C_402,12.9,-24.085,90.0,bottom
D1,WS2812B,WS6812_Mini,6.0,-9.5,0.0,bottom
D10,WS2812B,WS6812_Mini,239.0,-66.75,180.0,bottom
D11,WS2812B,WS6812_Mini,200.5,-66.75,180.0,bottom
D12,WS2812B,WS6812_Mini,162.0,-66.75,180.0,bottom
D13,WS2812B,WS6812_Mini,123.0,-66.75,180.0,bottom
D14,WS2812B,WS6812_Mini,84.5,-66.75,180.0,bottom
D15,WS2812B,WS6812_Mini,46.0,-66.75,180.0,bottom
D16,WS2812B,WS6812_Mini,7.0,-66.75,180.0,bottom
D17,1N4148W,D_SOD-123,-3.8,-3.4,90.0,bottom
D18,1N4148W,D_SOD-123,-2.1,-15.7,270.0,bottom
D19,1N4148W,D_SOD-123,-1.4,-41.5,90.0,bottom
D2,WS2812B,WS6812_Mini,46.0,-9.5,0.0,bottom
D20,1N4148W,D_SOD-123,-1.3,-60.5,90.0,bottom
D21,1N4148W,D_SOD-123,11.5,-79.5,90.0,bottom
D22,1N4148W,D_SOD-123,15.25,-3.4,90.0,bottom
D23,1N4148W,D_SOD-123,21.7,-15.7,270.0,bottom
D24,1N4148W,D_SOD-123,22.5,-79.5,90.0,bottom
D25,1N4148W,D_SOD-123,34.4,-3.4,90.0,bottom
D26,1N4148W,D_SOD-123,43.9,-22.6,90.0,bottom
D27,1N4148W,D_SOD-123,29.6,-41.5,90.0,bottom
D28,1N4148W,D_SOD-123,39.1,-60.5,90.0,bottom
D29,1N4148W,D_SOD-123,46.3,-79.5,90.0,bottom
D3,WS2812B,WS6812_Mini,84.5,-9.53,0.0,bottom
D30,1N4148W,D_SOD-123,53.4,-3.4,90.0,bottom
D31,1N4148W,D_SOD-123,63.0,-22.6,90.0,bottom
D32,1N4148W,D_SOD-123,48.7,-41.5,90.0,bottom
D33,1N4148W,D_SOD-123,58.2,-60.5,90.0,bottom
D34,1N4148W,D_SOD-123,72.5,-3.5,90.0,bottom
D35,1N4148W,D_SOD-123,82.0,-22.6,90.0,bottom
D36,1N4148W,D_SOD-123,67.7,-41.5,90.0,bottom
D37,1N4148W,D_SOD-123,77.2,-60.5,90.0,bottom
D38,1N4148W,D_SOD-123,91.5,-3.4,90.0,bottom
D39,1N4148W,D_SOD-123,101.1,-22.6,90.0,bottom
D4,WS2812B,WS6812_Mini,123.0,-9.5,0.0,bottom
D40,1N4148W,D_SOD-123,86.8,-41.5,90.0,bottom
D41,1N4148W,D_SOD-123,96.3,-60.5,90.0,bottom
D42,1N4148W,D_SOD-123,110.6,-3.4,90.0,bottom
D43,1N4148W,D_SOD-123,120.2,-22.6,90.0,bottom
D44,1N4148W,D_SOD-123,105.8,-41.5,90.0,bottom
D45,1N4148W,D_SOD-123,115.3,-60.5,90.0,bottom
D46,1N4148W,D_SOD-123,110.6,-79.5,90.0,bottom
D47,1N4148W,D_SOD-123,129.6,-3.4,90.0,bottom
D48,1N4148W,D_SOD-123,139.2,-22.6,90.0,bottom
D49,1N4148W,D_SOD-123,124.9,-41.5,90.0,bottom
D5,WS2812B,WS6812_Mini,162.0,-9.5,0.0,bottom
D50,1N4148W,D_SOD-123,134.4,-60.5,90.0,bottom
D51,1N4148W,D_SOD-123,148.7,-3.4,90.0,bottom
D52,1N4148W,D_SOD-123,158.3,-22.6,90.0,bottom
D53,1N4148W,D_SOD-123,143.9,-41.5,90.0,bottom
D54,1N4148W,D_SOD-123,153.4,-60.5,90.0,bottom
D55,1N4148W,D_SOD-123,167.7,-3.4,90.0,bottom
D56,1N4148W,D_SOD-123,177.3,-22.6,90.0,bottom
D57,1N4148W,D_SOD-123,163.0,-41.5,90.0,bottom
D58,1N4148W,D_SOD-123,172.5,-60.5,90.0,bottom
D59,1N4148W,D_SOD-123,186.8,-3.4,90.0,bottom
D6,WS2812B,WS6812_Mini,200.5,-9.5,0.0,bottom
D60,1N4148W,D_SOD-123,196.3,-22.6,90.0,bottom
D61,1N4148W,D_SOD-123,182.0,-41.5,90.0,bottom
D62,1N4148W,D_SOD-123,191.5,-60.5,90.0,bottom
D63,1N4148W,D_SOD-123,191.5,-79.5,90.0,bottom
D64,1N4148W,D_SOD-123,205.8,-3.4,90.0,bottom
D65,1N4148W,D_SOD-123,215.4,-22.6,90.0,bottom
D66,1N4148W,D_SOD-123,201.1,-41.5,90.0,bottom
D67,1N4148W,D_SOD-123,210.6,-60.5,90.0,bottom
D68,1N4148W,D_SOD-123,224.8,-3.4,90.0,bottom
D69,1N4148W,D_SOD-123,234.4,-22.6,90.0,bottom
D7,WS2812B,WS6812_Mini,239.0,-9.5,0.0,bottom
D70,1N4148W,D_SOD-123,220.2,-41.5,90.0,bottom
D71,1N4148W,D_SOD-123,236.8,-60.5,90.0,bottom
D72,1N4148W,D_SOD-123,220.1,-79.5,90.0,bottom
D73,1N4148W,D_SOD-123,239.25,-3.4,90.0,bottom
D74,1N4148W,D_SOD-123,243.9,-79.5,90.0,bottom
D75,1N4148W,D_SOD-123,254.1,-3.4,90.0,bottom
D76,1N4148W,D_SOD-123,258.2,-22.6,90.0,bottom
D77,1N4148W,D_SOD-123,251.1,-41.5,90.0,bottom
D78,1N4148W,D_SOD-123,263.0,-60.5,90.0,bottom
D79,1N4148W,D_SOD-123,263.0,-79.5,90.0,bottom
D8,WS2812B,WS6812_Mini,279.0,-9.5,0.0,bottom
D80,1N4148W,D_SOD-123,282.0,-3.4,90.0,bottom
D81,1N4148W,D_SOD-123,282.0,-22.6,90.0,bottom
D82,1N4148W,D_SOD-123,282.1,-41.5,90.0,bottom
D83,1N4148W,D_SOD-123,282.0,-60.5,90.0,bottom
D84,1N4148W,D_SOD-123,282.1,-79.5,90.0,bottom
D85,1N4148W,D_SOD-123,239.2,-41.5,90.0,bottom
D86,1N4148W,D_SOD-123,20.2,-60.5,90.0,bottom
D9,WS2812B,WS6812_Mini,278.0,-66.75,180.0,bottom
F1,SMD0805-110,F_805,-0.05,-9.55,90.0,bottom
FB1,CBW201209U121T,R_805,15.78,5.93,90.0,bottom
J1,USB_B_Mini,HRO-U-M-M5DD-W-1,9.52,6.06,0.0,bottom
R1,1000,R_402,17.75,-36.95,90.0,bottom
R2,27,R_402,14.4,-20.5,270.0,bottom
R3,27,R_402,15.7,-20.5,270.0,bottom
R4,10k,R_402,12.3,-35.25,180.0,bottom
R5,10k,R_402,23.5,-21.1,0.0,bottom
R6,1000,R_402,25.2,-20.6,270.0,bottom
R7,10k,R_402,-2.15,-25.4625,90.0,bottom
SW1,K2-1187SQ-A4SW-06,K2-1187SQ-B4SW-06,100.0,-76.0,90.0,bottom
SW2,K2-1187SQ-A4SW-06,K2-1187SQ-B4SW-06,90.0,-76.0,270.0,bottom
U1,ADP122AUJZ-3.3-R7 ,TSOT-23-5,5.5,-25.0,180.0,bottom
U2,TPD3E001DRLR,SOT-553,9.375,0.45,270.0,bottom
U3,RP2040,QFN-56-RP2040,17.5,-30.0,0.0,bottom
U4,W25Q16JVUXIQ,USON8_3x2mm,22.4,-23.15,0.0,bottom
U5,TXS0101DBVR,SOT-23-6,-4.55,-26.5625,90.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,20.65,-38.15,270.0,bottom
